UTM;Y;X;Departamento;Distrito;Localidad;Proyecto;Programa;Cantidad de Viviendas;Empresa;Estado de Obra;Porcentaje de avance;LPN Nº;Fecha de Inicio;Fecha de recepcion definitiva;Nivel;;;;;;;;;;;
;;;BOQUERON;Mariscal J. Felix Estigarribia;;Paraiso;FONAVIS;40;Habitat para la Humanidad;En Ejecución;;;;;4;;;;;;;;;;;
;;;BOQUERON;Mariscal J. Felix Estigarribia;Mcal. Estigarribia;Comunidad Nivacle Casuarina-Campo Grande;FONAVIS;22;CEDES / HABITAT;En Ejecución;;;26/12/13;;4;;;;;;;;;;;
20 K;7471319;793300;BOQUERON;Mariscal J. Felix Estigarribia;;Asent. indigena Nivacle;CHE TAPYI;150;ARQUITECTONICA S.R.L.;En Ejecución;;;;;;;;;;;;;;;;
21 K;7496057;202583;BOQUERON;Loma Plata;;Asent. Indigena ENXET-LENGUA - C.Alegre;CHE TAPYI;150;ING. FERNANDO MORENO MARTINEZ;En Ejecución;;;;;;;;;;;;;;;;
21J;7180170;600957;CAAGUAZU;Caaguazu;;Empaladomi;Viviendas Económicas;100;SOTEC S.A.;Culminado;;003/11;;10/09/12;;;;;;;;;;;;
21J;7183375;558635;CAAGUAZU;Cnel. Oviedo;;Colonia Yovyi - Cnel Oviedo;Viviendas Económicas;100;ING. ROBERTO CHAVEZ.---;Culminado;;003/11;03/10/11;11/01/13;;;;;;;;;;;;
21J;7183695;558756;CAAGUAZU;Cnel. Oviedo;;Colonia Yovyi 2 - Cnel Oviedo;Viviendas Económicas;60;M & M CONSTRUCCIONES;En Ejecución;;019/11;03/08/12;;;;;;;;;;;;;
21 J;7205807;595353;CAAGUAZU;San Joaquin;San Joaquin;San Martin;Pueblos Originarios;144;JR CONSTRUCTORA;Paralizado;;003/11;18/07/11;;;;;;;;;;;;;
21 J;7182545;643396;CAAGUAZU;Dr. J. Eulogio Estigarribia;Nueva Esperanza;Nueva Esperanza;Pueblos Originarios;11;Consorcio Pro Hogar;Paralizado;;003/11;18/07/11;;;;;;;;;;;;;
21 J;7263674;619161;CAAGUAZU;Yacy Kañy;Alikakue;Alikakue;Pueblos Originarios;20;Consorcio Pro Hogar;Paralizado;;003/11;18/07/11;;;;;;;;;;;;;
21J;7213399;559645;CAAGUAZU;Carayao;;Carayao;Vya Renda;25;OSBEN S.R.L.;Culminado;;007/11;30/09/11;;;;;;;;;;;;;
21J;7239553;569056;CAAGUAZU;Santa Rosa del Mbutuy;Santa Rosa del Mbutuy;Santa Rosa del Mbutuy;Vya Renda;62;OSBEN S.R.L.;Paralizado;;020/11;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Vaqueria;;12 de Octubre;FONAVIS;10;ABOG. VERONICA NATALIA OJEDA CASTELLI;En Ejecución;;;;;4;;;;;;;;;;;
21 J;7213453;640614;CAAGUAZU;Raul Arsenio Oviedo;;Raúl Arsenio Oviedo;Vya Renda;44;ING. ROBERTO CHAVEZ.---;En Ejecución;;004/12;23/10/12;;;;;;;;;;;;;
21J;7191194;599996;CAAGUAZU;Sin Nombre;;Joyvi-Caaguazu;Pueblos Originarios;25;VIGA CONSTRUCCIONES;Paralizado;;009/12;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;San Joaquin;;Cerro Morotí;FONAVIS;22;LIC. MARIA MERCEDES ENRIQUEZ ARANDA;Culminado;;;;;4;;;;;;;;;;;
21 J;7218631;594304;CAAGUAZU;San Joaquin;San Joaquín;Monday mi - San Joaquin;Pueblos Originarios;42;CONSORCIO PRO HOGAR;Paralizado;;002/13;02/01/14;;;;;;;;;;;;;
21 J;7217492;595180;CAAGUAZU;San Joaquin;Campito;Tekojoja Pora - Campito;Pueblos Originarios;18;Consorcio Pro Hogar;Paralizado;;003/11;18/07/11;;;;;;;;;;;;;
21 J;7182545;643396;CAAGUAZU;Dr. J. Eulogio Estigarribia;Nueva esperanza;Nueva Esperanza;Pueblos Originarios;12;ELEMEC;En Ejecución;;011/11;09/02/12;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Raul Arsenio Oviedo;Raul Arsenio Oviedo;Santa Teresa;FONAVIS;20;CEDES / HABITAT;En Ejecución;;;15/01/13;;4;;;;;;;;;;;
21 J;7234257;618730;CAAGUAZU;Vaqueria;;Mbokaja'i;FONAVIS;19;CEDES / HABITAT;En Ejecución;;;;;4;;;;;;;;;;;
21 J;7196330;609478;CAAGUAZU;Yhu;;Arroyo Guazú;FONAVIS;18;LIC. MARIA MERCEDES ENRIQUEZ ARANDA;Culminado;;;;;4;;;;;;;;;;;
;;;CAAGUAZU;Caaguazu;;Ycua Porá;FONAVIS;10;LIC. MARIA MERCEDES ENRIQUEZ ARANDA;Culminado;;;;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Yhu;Arroyo Guazú;Arroyo Guazú 2 Fase;FONAVIS;25;LIC. MARIA MERCEDES ENRIQUEZ ARANDA;Culminado;;;;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;San Joaquin;Cerro Morotí;Cerro Morotí 2° fase;FONAVIS;16;LIC. MARIA MERCEDES ENRIQUEZ ARANDA;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Caaguazu;Juan Manuel Frutos;Comunidad Ind. Punta Porá;FONAVIS;17;LIC. MARIA MERCEDES ENRIQUEZ ARANDA;Culminado;;;;;4;;;;;;;;;;;
21 J;7234257;618730;CAAGUAZU;Vaqueria;;Mbokaja´i 2 fase;FONAVIS;10;CEDES / HABITAT;En Ejecución;;;;;4;;;;;;;;;;;
;;;CAAGUAZU;Mcal. Francisco Solano Lopez;Nueva Toledo;Comunidad Ind. Tekoha Porá;FONAVIS;28;LIC. MARIA MERCEDES ENRIQUEZ ARANDA;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Raul Arsenio Oviedo;Raul Arsenio Oviedo;Y'akaretá;FONAVIS;20;CEDES / HABITAT;En Ejecución;;;21/01/13;;4;;;;;;;;;;;
21 J;7180171;600676;CAAGUAZU;Caaguazu;;La Conquista;FONAVIS;25;CESARINA BARRETO DE ENCISO;En Ejecución;;;24/03/14;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Cnel. Oviedo;Cnel. Oviedo;G.O. San Roque Gonzalez de Santa Cruz;FONAVIS;45;NATANAEL CADOGAN DUARTE;En Ejecución;;;01/07/13;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Cnel. Oviedo;Asent. La Gloria;La Gloria II;FONAVIS;48;RIGOBERTO  GONZALEZ GIMENEZ;En Ejecución;;;11/02/14;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Cnel. Oviedo;Cnel. Oviedo;Santa Helena;FONAVIS;25;LIC. MARIA MERCEDES ENRIQUEZ ARANDA;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Cnel. Oviedo;Cnel. Oviedo;San Jorge;FONAVIS;50;LIC. MARIA MERCEDES ENRIQUEZ ARANDA;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Cnel. Oviedo;;Fortaleza;FONAVIS;14;ABOG. VERONICA NATALIA OJEDA CASTELLI;Culminado;;;;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Cnel. Oviedo;;Virgen del Carmen;FONAVIS;25;ABOG. VERONICA NATALIA OJEDA CASTELLI;Culminado;;;;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Cnel. Oviedo;;Com. Sagrado Corazón de Jesús;FONAVIS;29;ABOG. VERONICA NATALIA OJEDA CASTELLI;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Repatriacion;;Com. Ind. Ypa'u Señorita;FONAVIS;25;LIC. MARIA MERCEDES ENRIQUEZ ARANDA;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Cnel. Oviedo;Asent. la Gloria;La Gloria 1;FONAVIS;30;RIGOBERTO  GONZALEZ GIMENEZ;En Ejecución;;;21/03/14;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Cnel. Oviedo;;Asentamiento Sol Naciente;FONAVIS;30;RIGOBERTO  GONZALEZ GIMENEZ;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Yhu;;Virgen del Rosario;FONAVIS;40;LIC. MARIA MERCEDES ENRIQUEZ ARANDA;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;San Joaquin;San Joaquín;San Joaquín 1F;FONAVIS;50;LIC. MARIA MERCEDES ENRIQUEZ ARANDA;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Vaqueria;;12 de Octubre 2°Fase;FONAVIS;30;ABOG. VERONICA NATALIA OJEDA CASTELLI;Culminado;;;;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Cnel. Oviedo;;Siempre Verde 2;FONAVIS;23;ACG CONSULTORIA INTEGRAL;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Cnel. Oviedo;;6 de Enero Poty;FONAVIS;10;ACG CONSULTORIA INTEGRAL;Culminado;;;;;4;;;;;;;;;;;
